city,region,year,weekofyear,month,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,precipitation_amt_mm,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_relative_humidity_percent,reanalysis_specific_humidity_g_per_kg,reanalysis_tdtr_k,reanalysis_precip_amt_kg_per_m2,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm,population_density,hospital_capacity_index,lag1_cases,lag2_cases,lag4_cases,outbreak_zone,total_cases
Colombo,Sri_Lanka,2019,11,3,0.116031,0.078881,0.204117,0.13596,24.54,298.4156,298.3851,294.171,299.41,297.36,81.3576,8.993,2.0486,24.92,25.5407,2.0,26.3,24.47,19.96,0.753,0.612,8,5,8,0,8
Lahore,Punjab_PK,2001,7,2,0.054852,0.066439,0.163795,0.252063,19.39,303.6578,303.3441,300.0366,306.58,300.11,76.9763,8.364,6.4775,16.72,30.6804,6.1605,33.17,27.01,14.14,0.932,0.518,8,8,2,0,9
Karachi,Sindh_PK,2020,13,4,-0.032429,-0.001917,0.062729,0.003109,1.02,299.5619,299.5939,294.5447,303.73,295.46,66.6659,7.0469,8.2729,1.09,25.5645,7.4462,30.0,22.55,0.0,0.803,0.48,15,16,20,0,17
Iquitos,Peru,1992,21,6,0.035256,0.037097,0.189954,0.057509,20.69,296.6312,296.6877,290.5179,297.94,295.43,80.3874,9.1088,2.5138,18.58,24.1511,2.3588,24.58,22.22,14.87,0.364,0.471,5,5,6,0,6
Iquitos,Peru,2001,32,8,0.419049,0.538288,0.546938,0.6,183.53,298.133,297.9657,294.2969,300.52,295.41,73.1822,7.7406,5.1126,183.62,24.0782,5.08,28.01,22.93,186.05,0.338,0.434,3,3,3,0,6
Islamabad,ICT_PK,1998,4,1,0.254977,0.200269,0.434659,0.29691,70.54,295.2398,295.1908,293.374,297.92,292.46,76.5902,7.9134,5.4659,66.83,22.5631,6.5124,25.61,19.1,71.58,0.727,0.699,4,6,3,0,5
Gampaha,Sri_Lanka,2016,14,4,0.032814,0.184652,0.082336,0.344265,52.55,301.2997,300.8327,296.0239,304.05,297.61,87.1203,9.6918,6.4424,53.67,27.4822,7.2245,31.05,23.83,63.21,0.706,0.585,10,11,8,0,13
Gampaha,Sri_Lanka,1991,16,4,0.237296,0.161547,0.244467,0.313755,80.08,298.994,298.8905,293.0222,300.38,297.4,79.973,9.2326,2.9875,70.86,26.0624,3.7057,27.53,23.82,84.48,0.794,0.62,17,19,14,0,16
Colombo,Sri_Lanka,2000,15,4,0.055373,0.095262,0.043144,-0.027234,0.24,298.8733,298.5514,291.5283,299.73,297.38,77.6624,8.3885,2.3483,0.27,24.7856,2.0,26.11,24.77,2.22,0.77,0.613,2,2,1,0,5
Ampara,Sri_Lanka,2020,28,7,0.094128,0.047141,0.089869,0.226001,32.99,302.9526,303.1309,301.042,305.1,301.16,65.7092,7.4568,3.9479,28.33,30.2677,2.8381,31.61,28.77,31.22,0.744,0.613,31,34,40,1,31
Quetta,Balochistan_PK,2003,7,2,0.005778,0.047474,0.004437,-0.026158,0.4,300.2185,300.2552,294.414,305.82,294.69,41.7815,5.0,11.1301,0.45,27.2243,10.4245,32.57,22.15,9.28,0.184,0.234,2,0,0,0,0
Galle,Sri_Lanka,2005,14,4,0.11041,-0.059567,-0.1,-0.037879,4.77,300.1197,300.0517,294.719,300.13,299.98,79.7942,8.2199,1.0,4.68,27.0005,2.0,26.29,27.72,4.78,0.706,0.61,91,87,89,1,88
Iquitos,Peru,1992,36,9,0.01083,0.121646,-0.1,0.057894,13.88,300.9988,301.3348,294.6237,303.85,298.82,70.9661,7.6403,5.0217,14.24,28.2377,5.1334,30.3,25.16,13.86,0.34,0.476,2,6,10,0,1
Galle,Sri_Lanka,1996,13,4,0.455131,0.373593,0.389714,0.379631,128.7,298.1122,298.3995,293.7245,300.45,296.35,86.678,9.8211,4.1087,129.21,25.3878,4.5708,27.73,23.16,118.36,0.747,0.594,9,9,13,0,8
Peshawar,KPK_PK,2008,50,12,-0.049777,0.174481,0.052222,0.121686,0.65,297.803,297.5147,293.1978,300.6,294.43,59.6818,6.3699,6.1695,0.58,24.5113,5.7217,27.24,21.52,2.68,0.655,0.401,0,4,3,0,0
Jaffna,Sri_Lanka,2024,4,1,0.042021,0.088649,0.13008,0.194281,5.72,296.2382,295.9974,290.5218,298.41,293.58,67.23,7.1347,4.8334,5.92,22.8621,4.7066,25.29,20.59,6.65,0.782,0.614,0,0,0,0,0
Ampara,Sri_Lanka,2001,1,1,0.046211,0.04686,0.030079,0.105272,11.17,298.0588,298.3704,292.1059,299.59,297.15,61.1138,6.4637,2.4385,10.91,26.1793,2.0,26.79,24.87,12.37,0.731,0.598,0,2,5,0,0
Peshawar,KPK_PK,2001,49,12,0.017078,0.044623,0.056107,0.082274,1.09,297.1073,297.2677,293.2273,301.02,293.52,61.2702,6.8165,7.5039,1.18,23.4175,7.5833,28.01,20.43,1.27,0.67,0.405,0,0,0,0,0
Kandy,Sri_Lanka,2000,17,5,0.093401,0.301322,0.019226,0.322822,10.87,297.0581,297.4906,293.0729,300.9,294.09,79.6173,8.8199,6.8102,10.69,23.7186,5.4233,26.68,21.26,18.29,0.755,0.617,26,30,35,0,27
Ampara,Sri_Lanka,2017,33,9,0.205011,0.183556,0.241611,0.139252,36.96,301.8762,301.699,295.6893,303.53,299.86,65.8927,7.2921,3.669,38.08,28.2015,3.434,30.25,26.82,40.31,0.721,0.587,8,10,10,0,5
Jaffna,Sri_Lanka,2008,6,2,0.020544,0.181592,0.029474,0.153801,11.59,302.3598,301.764,297.9434,304.37,299.16,74.3664,8.1846,5.2139,12.35,28.3878,6.0071,31.92,25.91,2.54,0.727,0.612,5,4,4,0,2
Karachi,Sindh_PK,2005,16,4,0.026766,0.029699,-0.000407,-0.056079,1.01,303.1765,303.3935,298.508,307.13,299.66,44.2871,5.0,7.4662,0.95,30.398,7.8869,34.84,26.95,0.88,0.842,0.513,6,4,2,0,3
Jaffna,Sri_Lanka,1990,46,12,0.264106,0.349978,0.163221,0.299979,63.1,297.9734,297.8333,293.999,301.09,294.57,57.4999,6.6144,6.5186,66.63,24.9595,7.2811,28.46,21.18,67.94,0.683,0.56,4,0,0,0,1
Gampaha,Sri_Lanka,2010,16,4,0.328604,0.494558,0.369458,0.252213,106.07,298.2362,298.3931,293.4733,300.67,296.12,82.5303,9.3017,4.5474,113.81,24.4048,4.1823,27.45,23.26,101.27,0.748,0.6,106,109,105,1,105
Ampara,Sri_Lanka,2015,6,2,0.082539,-0.006524,0.039585,0.10617,3.25,302.6405,302.0556,300.3651,306.64,297.47,69.8236,7.3624,9.1659,3.67,28.817,9.2105,33.42,24.21,13.96,0.746,0.637,0,3,6,0,0
Quetta,Balochistan_PK,1998,14,4,0.056709,0.053344,0.032872,0.048244,4.04,289.9652,289.4746,284.0737,297.01,282.0,41.0999,5.0,15.0731,3.45,16.3921,15.4002,24.58,10.0,5.67,0.184,0.269,0,0,0,0,0
Kandy,Sri_Lanka,2000,48,12,0.174344,0.383797,0.101595,0.131135,42.06,296.335,296.2808,292.4619,298.22,294.34,74.5636,7.9823,3.8811,38.98,23.4946,3.7085,24.99,21.28,31.09,0.778,0.62,1,3,3,0,1
